"Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery Name","City","State"
"Pub Beer",1436,5,26.75,409,"American Pale Lager",12,"10 Barrel Brewing Company","Bend"," OR"
"Devil's Cup",2265,6.6,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Rise of the Phoenix",2264,7.1,67.6345514950166,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"Sinister",2263,9,93.32,178,"American Double / Imperial IPA",12,"18th Street Brewery","Gary"," IN"
"Sex and Candy",2262,7.5,67.6345514950166,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"Black Exodus",2261,7.7,28.0909090909091,178,"Oatmeal Stout",12,"18th Street Brewery","Gary"," IN"
"Lake Street Express",2260,4.5,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Foreman",2259,6.5,31.9230769230769,178,"American Porter",12,"18th Street Brewery","Gary"," IN"
"Jade",2258,5.5,44.9411764705882,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Cone Crusher",2131,8.6,93.32,178,"American Double / Imperial IPA",12,"18th Street Brewery","Gary"," IN"
"Sophomoric Saison",2099,7.2,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Regional Ring Of Fire",2098,7.3,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Garce Selé",2097,6.9,28.3913043478261,178,"Saison / Farmhouse Ale",12,"18th Street Brewery","Gary"," IN"
"Troll Destroyer",1980,8.5,57,178,"Belgian IPA",12,"18th Street Brewery","Gary"," IN"
"Bitter Bitch",1979,6.1,60,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary"," IN"
"Ginja Ninja",2318,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"Cherried Away",2170,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"Rhubarbarian",2169,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"BrightCider",1502,6,0,155,"Cider",12,"2 Towns Ciderhouse","Corvallis"," OR"
"He Said Baltic-Style Porter",1593,8.2,54,369,"Baltic Porter",12,"21st Amendment Brewery","San Francisco"," CA"
"He Said Belgian-Style Tripel",1592,8.2,23.5,369,"Tripel",12,"21st Amendment Brewery","San Francisco"," CA"
"Lower De Boom",1036,9.9,92,369,"American Barleywine",8.4,"21st Amendment Brewery","San Francisco"," CA"
"Fireside Chat",1024,7.9,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco"," CA"
"Marooned On Hog Island",976,7.9,41.3125,369,"American Stout",12,"21st Amendment Brewery","San Francisco"," CA"
"Bitter American",876,4.4,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat (2009)",802,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat (2009)",801,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"21st Amendment Watermelon Wheat Beer (2006)",800,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"21st Amendment IPA (2006)",799,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2008)",797,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2009)",796,7,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Special Edition: Allies Win The War!",531,8.5,52,369,"English Strong Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Hop Crisis",432,9.7,94,369,"American Double / Imperial IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Bitter American (2011)",353,4.4,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco"," CA"
"Fireside Chat (2010)",321,7.9,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco"," CA"
"Back in Black",173,6.8,65,369,"American Black Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Monk's Blood",11,8.3,35,369,"Belgian Dark Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA",10,7,65,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Hell or High Watermelon Wheat",9,4.9,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco"," CA"
"Bimini Twist",2519,7,82,68,"American IPA",12,"3 Daughters Brewing","St Petersburg"," FL"
"Beach Blonde",2518,5,20.983606557377,68,"American Blonde Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Rod Bender Red",2517,5.9,36.2987012987013,68,"American Amber / Red Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Passion Fruit Prussia",2545,3.5,11,61,"Berliner Weissbier",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Send Help",2544,4.5,18,61,"American Blonde Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Cast Iron Oatmeal Brown",2324,5.5,29.8947368421053,61,"American Brown Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Reprise Centennial Red",2288,6,36.2987012987013,61,"American Amber / Red Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Alter Ego",2287,5.5,68.9,61,"American Black Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Divided Sky",2286,6.5,67.6345514950166,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Resurrected",2285,6.5,67.6345514950166,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Contact High",1870,5,28,61,"American Pale Wheat Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Galaxyfest",2603,6.5,67.6345514950166,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Citrafest",2602,5,45,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Barn Yeti",2220,9,72,28,"Belgian Strong Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"Scarecrow",2219,6.9,65,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Ironman",2218,9,50,28,"English Strong Ale",16,"450 North Brewing Company","Columbus"," IN"
"Honey Kolsch",2217,4.6,15,28,"Kölsch",16,"450 North Brewing Company","Columbus"," IN"
"Copperhead Amber",2216,5.2,18,28,"Belgian Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"Rude Parrot IPA",972,5.9,75,482,"American IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"British Pale Ale (2010)",866,5.4,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"British Pale Ale",48,5.4,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"Ballz Deep Double IPA",47,8.4,82,482,"American Double / Imperial IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"Wolfman's Berliner",1583,3.8,7.8,374,"Berliner Weissbier",12,"7venth Sun","Dunedin"," FL"
"Colorado Native",1165,5.5,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Colorado Native (2011)",431,5.5,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Jockamo IPA",516,6.5,52,534,"American IPA",12,"Abita Brewing Company","Abita Springs"," LA"
"Purple Haze",515,4.2,13,534,"Fruit / Vegetable Beer",12,"Abita Brewing Company","Abita Springs"," LA"
"Abita Amber",514,4.5,17,534,"American Amber / Red Lager",12,"Abita Brewing Company","Abita Springs"," LA"
"Citra Ass Down",2540,8.2,68,63,"American IPA",16,"Against The Grain Brewery","Louisville"," KY"
"The Brown Note",2539,5,20,63,"American Brown Ale",16,"Against The Grain Brewery","Louisville"," KY"
"Citra Ass Down",2686,8,68,2,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY"
"London Balling",2685,12.5,80,2,"English Barleywine",16,"Against the Grain Brewery","Louisville"," KY"
